Sr. No.,molecule_chembl_id,canonical_smiles,,bioactivity_class,Groups,MW,LogP,NumHDonors,NumHAcceptors,NumRotatableBonds,TPSA,standard_value,pIC50
1,CHEMBL100174,CCCCN(C)c1ccc(/N=N/c2ncc([N+](=O)[O-])s2)c(C)c1,,active,1,333.417,5.01142,0,7,7,83.99,151,6.821023053
2,CHEMBL100775,Cc1cnc(Nc2ccccn2)s1,,inactive,0,191.259,2.59012,1,4,2,37.81,1274,5.894830572
3,CHEMBL101221,CC(=O)Nc1oc(-c2cc3ccccc3cc2O)nc1-c1ccccc1,,active,1,344.37,4.8258,2,4,3,75.36,16,7.795880017
4,CHEMBL101253,Clc1ccc(Nc2nnc(Cc3ccncc3)c3ccccc23)cc1,,active,1,346.821,5.0126,1,4,4,50.7,37,7.431798276
5,CHEMBL101325,CC(=O)Nc1oc(-c2cncc(-c3cccc(Cl)c3)c2)nc1-c1ccccc1,,inactive,0,389.842,5.6824,1,4,4,68.02,8320,5.079876674
6,CHEMBL101461,CC(=O)Nc1oc(-c2cncc(-c3ccccc3)c2)nc1-c1ccccc1,,inactive,0,355.397,5.029,1,4,4,68.02,575,6.240332155
7,CHEMBL101464,Brc1cccc(Nc2ncc(-c3ccccc3)s2)n1,,active,1,332.226,4.7112,1,4,3,37.81,14,7.853871964
8,CHEMBL101544,N#Cc1cnc(Nc2ccccn2)s1,,active,1,202.242,2.15338,1,5,2,61.6,36,7.443697499
9,CHEMBL101682,O=C(Nc1ccccc1F)c1ccccc1NCc1ccc(F)cc1,,inactive,0,338.357,4.8292,2,2,5,41.13,3700,5.431798276
10,CHEMBL101683,O=C(Nc1ccc(Cl)cc1)c1ccccc1NCc1ccncc1,,active,1,337.81,4.5994,2,3,5,54.02,20,7.698970004
11,CHEMBL101797,O=C1Nc2ccccc2/C1=C\c1ccc[nH]1,,inactive,0,210.236,2.5074,2,1,1,44.89,390,6.408935393
12,CHEMBL101924,c1ccc(-c2cnc(Nc3ncccn3)s2)cc1,,active,1,254.318,3.3437,1,5,3,50.7,137,6.863279433
13,CHEMBL102301,COc1cc2ncnc(N3CCN(/C(S)=N\Cc4ccc5c(c4)OCO5)CC3)c2cc1OC,,inactive,0,467.551,2.9837,1,8,5,81.54,17300,4.761953897
14,CHEMBL103055,CCN1CCOCCn2cc(c3ccccc32)C2=C(C(=O)NC2=O)c2cn(c3ccccc23)CCOCC1,,inactive,0,512.61,3.5319,1,7,1,77.73,1410,5.850780887
15,CHEMBL103595,c1ccc2c(c1)c(-c1cncc(-c3ccsc3)c1)cn2CCN1CCOCC1,,active,1,389.524,4.764,0,5,5,30.29,60,7.22184875
