molecule_chembl_id,canonical_smiles,standard_value,actual,predicted
CHEMBL105739,Cc1cc(C)c(/C=C2/C(=O)Nc3ccccc32)[nH]1,40,active,active
CHEMBL1078178,N#CCNC(=O)c1ccc(-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)cc1,1000,active,active
CHEMBL1230020,CCCS(=O)(=O)Nc1ccc(F)c(C(=O)c2c[nH]c3ncc(Cl)cc23)c1F,2300,active,active
CHEMBL1236095,CCc1cccc(CC)c1NC(=O)c1nn(C)c2c1CCc1cnc(Nc3ccc(C(=O)NC4CCN(C)CC4)cc3OC(F)(F)F)nc1-2,10000,active,active
CHEMBL1738757,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3cc(C(C)(C)C)nn3-c3ccc4ncccc4c3)c(F)c2)ccn1,4,active,active
CHEMBL1947204,C=CC(=O)Nc1ccc2ncnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c2c1,10000,active,active
CHEMBL199460,COc1cc2c(Nc3ccc(Cl)cc3F)ncnc2cc1OCCOCCNC(=O)C(CCCCNC(=O)CCCCC1SCC2NC(=O)NC21)NC(=O)c1c(F)c(F)c(N=[N+]=[N-])c(F)c1F,7100,active,active
CHEMBL2002702,Cc1cc(C)c(C=C2C(=O)Nc3ccccc32)[nH]1,12900,active,active
CHEMBL2079136,CC(C)n1nc(-c2cc3ccccc3[nH]2)c2c(N)ncnc21,4570,active,active
CHEMBL2146883,O=C(c1ccc(F)c(F)c1Nc1ccc(I)cc1F)N1CC(O)([C@@H]2CCCCN2)C1,10000,active,active
CHEMBL2165191,Cc1cc([C@@H](C)Nc2ccccc2C(=O)O)c2nc(N3CCOCC3)cc(=O)n2c1,117000,active,active
CHEMBL31965,C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCN1CCOCC1,24900,active,active
CHEMBL3354835,Cc1ccc(NC(=O)c2cccc(C(F)(F)F)c2)cc1Nc1ncccc1-c1ncnc2[nH]cnc12,1600,active,active
CHEMBL3643413,CCC(=O)N1CC[C@H](Nc2ncnc3c2CN(c2cnc(OC)c(C(F)(F)F)c2)CC3)C1,10000,active,active
CHEMBL3671523,C=CC(=O)Nc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCCNC(=O)/C=C/C,66,active,active
CHEMBL3671525,C=CC(=O)Nc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCCNC(=O)/C=C/CC,354,active,active
CHEMBL3671526,C=CC(=O)Nc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCCNC(=O)/C=C/CN(C)C,875,active,active
CHEMBL3671543,C=CC(=O)Nc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCCNC(=O)/C=N/OC,668,active,active
CHEMBL3924779,COc1cc2c(Nc3ccc(Cl)c(Cl)c3)ncnc2cc1OCC1CNCCO1,525,active,active
CHEMBL3926466,COc1cc2c(Nc3ccc(Cl)c(Cl)c3)ncnc2cc1OCC1CN(C)CCCO1,50,active,active
CHEMBL3935392,COc1cc2c(Nc3ccc(Cl)c(Cl)c3)ncnc2cc1OCC1CNCCCO1,525,active,active
CHEMBL4066412,CCN(CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C)CCOCCOCCNC(=O)c1cc(OCc2cn(CCCCN3C[C@@H]4C[C@H]3C(=O)N[C@@H](CCCNC(=N)N)C(=O)NCC(=O)N[C@@H](CC(=O)O)C(=O)N4)nn2)cc(OCc2cn(CCCCN3C[C@@H]4C[C@H]3C(=O)N[C@@H](CCCNC(=N)N)C(=O)NCC(=O)N[C@@H](CC(=O)O)C(=O)N4)nn2)c1,420,active,active
CHEMBL4282264,CNC(=O)Nc1ccc2c(c1)CC[C@@]21OC(=O)N(CC(=O)N(Cc2ccc(F)cc2)[C@@H](C)C(F)(F)F)C1=O,10000,active,active
CHEMBL4303214,CNC(=O)c1c(C)oc2cc(Oc3ncnc4cc(OC)c(OC)cc34)ccc12,0.35,active,active
CHEMBL4463714,Cc1ccc2oc(-c3c4c(N)n[nH]c(=O)c4nn3-c3ccc(NC(=O)/C=C/CN(C)C)cc3)c(C)c2c1,1.9,active,active
CHEMBL4469552,COc1cc(-c2nc(C(=O)Nc3ccccc3)nn2-c2ccc(F)c(Cl)c2)cc(OC)c1OC,19.82,active,active
CHEMBL4562845,COc1cc(OC)c(Cl)c(-c2ccc3c(NC(=O)c4ccc(N5CCN(C)CC5)cc4)n[nH]c3c2)c1Cl,200,active,inactive
CHEMBL4576666,CC1(C)O[C@@H]2[C@H](O1)[C@@H](CNS(=O)(=O)c1ccc(-c3cn(CCO[C@@H]4O[C@H](CF)[C@@H](O)[C@H](O)[C@H]4O)nn3)cc1)O[C@@H]2CC(=O)N[C@@H](CCCNC(=N)N)C(=O)O,306000,active,active
CHEMBL4640401,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C(=O)CCCc4cn(CCOCCOCCOCCNc5cccc6c5C(=O)N(C5CCC(=O)NC5=O)C6=O)nn4)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2cccnn12,441,active,active
CHEMBL466397,CCc1cc(Nc2nccc(-c3c(-c4ccc(OC)c(C(=O)Nc5c(F)cccc5F)c4)nc4ccccn34)n2)c(OC)cc1N1CCC(N2CCN(S(C)(=O)=O)CC2)CC1,3200,active,active
CHEMBL4756289,COc1ccc2c(Oc3ccc(Nc4nccc5[nH]cc(-c6ccc(F)cc6)c(=O)c45)cc3F)ccnc2c1,125,active,active
CHEMBL4761877,COc1cc2c(Oc3ccc(Nc4nccc5[nH]cc(-c6ccc(F)cc6)c(=O)c45)cc3F)ccnc2cc1OCC(C)(C)O,47.1,active,inactive
CHEMBL4780189,Cc1ncsc1-c1ccc(CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC(=O)CCCCCCCCCCC(=O)n2nc(N)c3c(-c4cccc(NC(=O)Nc5cccc(C(C)C)c5)c4)cccc32)C(C)(C)C)cc1,208.15,active,active
CHEMBL4789418,Cc1ccc(F)c(NC(=O)Nc2ccc(-c3cccc4c3c(N)nn4C(=O)CCCCCCCCCCCCCCC(=O)N[C@H](C(=O)N3C[C@H](O)C[C@H]3C(=O)NCc3ccc(-c4scnc4C)cc3)C(C)(C)C)cc2)c1,80.42,active,active
CHEMBL4790793,COc1cc2c(Oc3ccc(Nc4nccc5[nH]cc(-c6ccccc6)c(=O)c45)cc3F)ccnc2cc1OCC(C)(C)O,48.9,active,inactive
CHEMBL4791334,Cc1ncsc1-c1ccc(CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC(=O)CCCCCC(=O)n2nc(N)c3c(-c4cccc(NC(=O)Nc5cccc(C(C)C)c5)c4)cccc32)C(C)(C)C)cc1,1000,active,active
CHEMBL4792399,Cc1ncsc1-c1ccc(CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC(=O)CCCCCCCCCCCCCCC(=O)n2nc(N)c3c(-c4cccc(NC(=O)Nc5cccc(C(C)C)c5)c4)cccc32)C(C)(C)C)cc1,1000,active,active
CHEMBL4792511,Cc1ccc(F)c(NC(=O)Nc2ccc(-c3cccc4c3c(N)nn4C(=O)CCCCCC(=O)N[C@H](C(=O)N3C[C@H](O)C[C@H]3C(=O)NCc3ccc(-c4scnc4C)cc3)C(C)(C)C)cc2)c1,1000,active,active
CHEMBL4794619,Cc1ccc(F)c(NC(=O)Nc2ccc(-c3cccc4c3c(N)nn4C(=O)CCCCCCCCCCC(=O)N[C@H](C(=O)N3C[C@H](O)C[C@H]3C(=O)NCc3ccc(-c4scnc4C)cc3)C(C)(C)C)cc2)c1,208.66,active,active
CHEMBL483321,COCC(=O)NC/C=C/c1ccc2ncnc(Nc3ccc(Oc4ccc(C)nc4)c(C)c3)c2c1,10000,active,active
CHEMBL505637,O=C(NCCc1ccc(O)c(Br)c1)/C(Cc1cc(Br)c(O)c(-c2cc(C/C(=N/O)C(=O)NCCc3ccc(O)c(Br)c3)cc(Br)c2O)c1)=N\O,1200,active,active
CHEMBL5393855,COc1cc(Nc2nccc(N(C)c3ccc4c(C)n(C)nc4c3)n2)ccc1-c1nc2c(C(N)=O)cccc2[nH]1,169,active,active
CHEMBL5393865,COc1cc2c(Oc3ccc(NC(=O)Nc4cc(C)ccc4F)c(Cl)c3)ncnc2cc1OCCCN1CCCC1,0.66,active,active
CHEMBL5394759,COc1cc2c(Oc3ccc(NC(=O)Nc4cccc(C(F)(F)F)c4)c(Cl)c3)ncnc2cc1OCCCN1CCCC1,0.71,active,active
CHEMBL5395205,CCCCn1c(SCC(=O)Nc2ccc(S(=O)(=O)Nc3ccc(Cl)nn3)cc2)nc2ccccc2c1=O,108,active,active
CHEMBL5395308,Cc1cnc(Nc2cnn(C)c2)nc1-c1cnn([C@H](CC#N)C2CCCC2)c1,315,active,active
CHEMBL5395396,CC(=O)N1N=C(C2CCCO2)CC1c1cn(-c2ccccc2)nc1-c1cccc([N+](=O)[O-])c1,220,active,active
